# LUCIA Four Log File
# Date: 2025-12-15 18:50:44
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=2.50 Ki=0.09 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 15.2C
PID: Kp=2.50 Ki=0.09 Kd=0.00
Phase detectee: 1
---
197387, 15.2, 100.0, 0.0, 0.0, 0.0, 0
202414, 15.1, 15.2, 0.2, 0.0, 0.0, 0
207481, 15.0, 15.2, 0.2, 0.0, 0.0, 0
212549, 15.3, 15.2, 0.0, 0.0, 0.0, 0
217617, 15.2, 16.2, 2.5, 0.0, 0.0, 2
222686, 15.2, 16.2, 2.7, 0.1, 0.0, 2
227755, 15.2, 16.2, 2.5, 0.1, 0.0, 2
232822, 15.3, 16.2, 2.7, 0.2, 0.0, 2
237894, 15.3, 17.2, 4.8, 0.2, 0.0, 5
242968, 15.3, 17.2, 4.8, 0.3, 0.0, 5
248042, 15.3, 17.2, 4.8, 0.4, 0.0, 5
253114, 15.5, 18.2, 6.9, 0.5, 0.0, 7
258185, 15.5, 18.2, 6.9, 0.7, 0.0, 7
263257, 15.5, 18.2, 6.9, 0.8, 0.0, 7
268327, 15.8, 18.2, 6.2, 0.9, 0.0, 7
273399, 15.9, 19.2, 8.5, 1.0, 0.0, 9
278471, 16.1, 19.2, 7.9, 1.2, 0.0, 9
283542, 16.3, 19.2, 7.9, 1.3, 0.0, 9
288630, 16.4, 20.2, 9.7, 1.5, 0.0, 11
293640, 16.7, 20.2, 8.9, 1.7, 0.0, 10
298647, 17.1, 20.2, 8.3, 1.8, 0.0, 10
303718, 17.3, 20.2, 7.2, 1.9, 0.0, 9
308845, 17.6, 21.2, 9.5, 2.1, 0.0, 11
313858, 18.0, 21.2, 8.3, 2.3, 0.0, 10
318863, 18.4, 21.2, 7.2, 2.4, 0.0, 9
323930, 18.7, 22.2, 8.9, 2.6, 0.0, 11
328940, 19.1, 22.2, 8.0, 2.7, 0.0, 10
334055, 19.4, 22.2, 7.0, 2.8, 0.0, 9
339117, 19.9, 22.2, 5.7, 2.9, 0.0, 8
344207, 20.3, 23.2, 7.0, 3.1, 0.0, 10
349290, 20.9, 23.2, 6.0, 3.2, 0.0, 9
354348, 21.4, 23.2, 4.7, 3.3, 0.0, 8
359406, 21.9, 24.2, 5.8, 3.4, 0.0, 9
364463, 22.3, 24.2, 5.1, 3.4, 0.0, 8
369520, 22.8, 24.2, 3.3, 3.5, 0.0, 6
374578, 23.2, 24.2, 2.5, 3.6, 0.0, 6
379638, 23.9, 25.2, 3.7, 3.6, 0.0, 7
384700, 24.3, 25.2, 2.5, 3.7, 0.0, 6
389764, 24.6, 25.2, 1.5, 3.7, 0.0, 5
394827, 25.2, 26.2, 2.6, 3.7, 0.0, 6
399887, 25.6, 26.2, 1.5, 3.8, 0.0, 5
404948, 26.0, 26.2, 0.5, 3.8, 0.0, 4
410007, 26.6, 26.2, -0.9, 3.8, 0.0, 2
415068, 27.1, 27.2, 0.6, 3.8, 0.0, 4
420130, 27.4, 27.2, -0.2, 3.8, 0.0, 3
425190, 27.8, 27.2, -1.6, 3.8, 0.0, 2
430252, 28.3, 28.2, -2.4, 3.7, 0.0, 1
