# LUCIA Four Log File
# Date: 2025-12-15 01:44:32
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=4.00 Ki=0.60 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 16.0C
PID: Kp=4.00 Ki=0.60 Kd=0.00
Phase detectee: 1
---
23375, 16.0, 16.0, 0.0, 0.0, 0.0, 0
28483, 16.1, 16.0, 0.0, 18.0, 0.0, 17
33505, 16.1, 17.0, 3.0, 18.0, 0.0, 20
38521, 16.2, 18.0, 7.3, 18.0, 0.0, 25
43538, 18.6, 19.0, 1.6, 18.0, 0.0, 19
48558, 18.4, 20.0, 5.9, 18.0, 0.0, 23
53572, 18.2, 21.0, 11.6, 18.0, 0.0, 29
58586, 17.9, 22.0, 16.6, 18.0, 0.0, 34
63599, 17.8, 23.0, 20.9, 18.0, 0.0, 38
68611, 17.7, 23.0, 21.6, 18.0, 0.0, 39
73629, 17.5, 24.0, 26.3, 18.0, 0.0, 44
78648, 17.4, 25.0, 31.0, 18.0, 0.0, 48
83665, 17.2, 26.0, 35.3, 18.0, 0.0, 53
88682, 16.8, 27.0, 39.3, 18.0, 0.0, 57
93699, 16.9, 28.0, 44.3, 18.0, 0.0, 62
98712, 16.9, 29.0, 49.0, 18.0, 0.0, 66
103729, 16.8, 30.0, 53.0, 18.0, 0.0, 70
108746, 16.7, 30.0, 53.3, 18.0, 0.0, 71
113768, 16.7, 31.0, 58.0, 18.0, 0.0, 75
118787, 16.5, 32.0, 61.3, 18.0, 0.0, 79
123798, 16.6, 33.0, 65.6, 18.0, 0.0, 83
128812, 16.4, 34.0, 70.3, 18.0, 0.0, 88
133825, 16.4, 35.0, 74.3, 18.0, 0.0, 92
138840, 16.5, 36.0, 79.0, 18.0, 0.0, 96
143855, 16.4, 37.0, 82.3, 18.0, 0.0, 100
148938, 16.5, 38.0, 82.3, 18.0, 0.0, 100
154020, 16.3, 38.0, 86.6, 18.0, 0.0, 100
159072, 20.9, 39.0, 72.9, 18.0, 0.0, 90
164086, 21.1, 40.0, 75.6, 18.0, 0.0, 93
169103, 24.8, 41.0, 75.6, 18.0, 0.0, 93
174158, 30.3, 42.0, 47.8, 18.0, 0.0, 65
179225, 28.3, 43.0, 57.6, 18.0, 0.0, 75
184290, 27.1, 44.0, 67.7, 18.0, 0.0, 85
189342, 25.8, 45.0, 72.2, 18.0, 0.0, 90
194360, 24.8, 45.0, 80.4, 18.0, 0.0, 98
199438, 23.9, 46.0, 88.7, 18.0, 0.0, 100
204523, 23.2, 47.0, 95.4, 18.0, 0.0, 100
<<< PROGRAMME ARRETE >>>
Temperature finale: 22.7C
---
