# LUCIA Four Log File
# Date: 2025-12-15 01:52:47
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=4.00 Ki=0.60 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 15.8C
PID: Kp=4.00 Ki=0.60 Kd=0.00
Phase detectee: 1
---
5030, 15.9, 15.8, 0.0, 0.0, 0.0, 0
10107, 15.9, 16.8, 4.0, 0.1, 0.0, 4
15187, 15.9, 17.8, 8.0, 0.4, 0.0, 8
20263, 15.7, 18.8, 8.7, 1.0, 0.0, 9
25278, 15.9, 18.8, 11.6, 2.0, 0.0, 13
30297, 15.8, 19.8, 16.3, 3.2, 0.0, 19
35313, 15.9, 20.8, 19.3, 4.4, 0.0, 23
40327, 16.0, 21.8, 24.3, 6.2, 0.0, 30
45337, 15.9, 22.8, 28.0, 8.2, 0.0, 36
50350, 20.7, 23.8, 12.6, 10.1, 0.0, 22
55480, 27.8, 24.8, -5.4, 10.1, 0.0, 4
60603, 28.9, 25.8, -17.0, 8.8, 0.0, 0
65723, 27.5, 26.8, -7.2, 8.0, 0.0, 0
70848, 26.4, 26.8, 1.6, 8.0, 0.0, 9
75869, 25.3, 27.8, 9.8, 8.5, 0.0, 18
80883, 24.6, 28.8, 17.1, 9.7, 0.0, 26
85896, 23.7, 29.8, 23.4, 11.1, 0.0, 34
90909, 23.0, 30.8, 31.0, 13.2, 0.0, 44
95921, 22.4, 31.8, 37.0, 15.9, 0.0, 52
100929, 21.9, 32.8, 43.6, 19.1, 0.0, 62
105935, 21.5, 33.8, 44.9, 21.9, 0.0, 66
110952, 21.1, 33.8, 50.9, 25.8, 0.0, 76
115962, 20.6, 34.8, 57.2, 30.3, 0.0, 87
120977, 20.2, 35.8, 62.6, 35.1, 0.0, 97
126028, 19.9, 36.8, 67.6, 39.2, 0.0, 100
131108, 19.7, 37.8, 71.9, 44.8, 0.0, 100
136187, 19.4, 38.8, 77.2, 50.8, 0.0, 100
141274, 19.2, 39.8, 82.6, 57.2, 0.0, 100
146362, 18.9, 40.8, 83.6, 62.5, 0.0, 100
151452, 18.8, 41.8, 88.2, 69.6, 0.0, 100
156539, 18.6, 41.8, 92.9, 77.0, 0.0, 100
161626, 18.4, 42.8, 97.9, 84.8, 0.0, 100
166713, 18.2, 43.8, 102.6, 91.3, 0.0, 100
171799, 18.1, 44.8, 107.6, 99.8, 0.0, 100
176884, 17.9, 45.8, 111.6, 100.0, 0.0, 100
<<< PROGRAMME ARRETE >>>
Temperature finale: 17.8C
---
<<< PROGRAMME ARRETE >>>
Temperature finale: 17.4C
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 17.3C
PID: Kp=2.00 Ki=0.60 Kd=0.00
Phase detectee: 1
---
212667, 17.2, 17.3, 116.6, 100.0, 0.0, 0
217708, 17.1, 17.3, 0.2, 0.0, 0.0, 0
222786, 17.0, 18.3, 2.5, 0.3, 0.0, 2
227867, 16.8, 19.3, 4.8, 1.0, 0.0, 5
232945, 16.8, 20.3, 7.0, 1.9, 0.0, 8
238057, 16.8, 21.3, 9.0, 3.2, 0.0, 12
243077, 16.9, 22.3, 10.7, 4.8, 0.0, 15
248095, 16.7, 23.3, 13.3, 6.3, 0.0, 19
253111, 16.7, 24.3, 13.3, 8.3, 0.0, 21
258129, 16.7, 24.3, 15.5, 10.8, 0.0, 26
263143, 16.5, 25.3, 17.5, 13.5, 0.0, 31
268158, 16.6, 26.3, 19.7, 16.0, 0.0, 35
273174, 16.4, 27.3, 21.7, 19.3, 0.0, 40
278193, 16.4, 28.3, 24.2, 22.9, 0.0, 47
283211, 16.3, 29.3, 25.8, 26.8, 0.0, 52
288229, 16.3, 30.3, 27.7, 30.2, 0.0, 57
293244, 16.3, 31.3, 30.0, 34.7, 0.0, 64
298263, 16.3, 32.3, 29.8, 39.4, 0.0, 69
303278, 16.3, 32.3, 32.0, 44.5, 0.0, 76
308290, 16.3, 33.3, 34.2, 48.8, 0.0, 82
313303, 16.3, 34.3, 36.0, 54.3, 0.0, 90
318319, 16.3, 35.3, 38.3, 60.3, 0.0, 98
323377, 16.2, 36.3, 40.2, 66.6, 0.0, 100
328460, 16.1, 37.3, 42.3, 71.8, 0.0, 100
333543, 16.2, 38.3, 44.2, 78.6, 0.0, 100
338625, 16.0, 39.3, 46.3, 85.8, 0.0, 100
343708, 16.2, 39.3, 46.2, 93.3, 0.0, 100
348793, 16.1, 40.3, 48.3, 99.5, 0.0, 100
353881, 16.0, 41.3, 50.2, 100.0, 0.0, 100
358967, 16.1, 42.3, 52.3, 100.0, 0.0, 100
364051, 15.8, 43.3, 54.8, 100.0, 0.0, 100
369138, 15.9, 44.3, 56.3, 100.0, 0.0, 100
374225, 16.0, 45.3, 58.5, 100.0, 0.0, 100
379312, 16.0, 46.3, 60.5, 100.0, 0.0, 100
384398, 15.9, 47.3, 62.7, 100.0, 0.0, 100
389485, 16.0, 47.3, 62.5, 100.0, 0.0, 100
394570, 16.0, 48.3, 64.5, 100.0, 0.0, 100
399657, 15.9, 49.3, 66.7, 100.0, 0.0, 100
404743, 15.9, 50.3, 68.7, 100.0, 0.0, 100
409827, 16.0, 51.3, 70.5, 100.0, 0.0, 100
414912, 16.1, 52.3, 72.7, 100.0, 0.0, 100
419994, 15.9, 53.3, 75.0, 100.0, 0.0, 100
