# LUCIA Four Log File
# Date: 2025-12-15 02:06:16
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=2.00 Ki=0.30 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 15.9C
PID: Kp=2.00 Ki=0.30 Kd=0.00
Phase detectee: 1
---
5104, 16.1, 15.9, 0.0, 0.0, 0.0, 0
10179, 16.0, 16.9, -0.3, -0.0, 0.0, 0
15261, 16.0, 16.9, 1.3, 0.1, 0.0, 1
20343, 16.1, 17.9, 4.0, 0.4, 0.0, 4
25424, 16.1, 18.9, 5.7, 0.9, 0.0, 6
30499, 16.2, 19.9, 7.5, 1.4, 0.0, 8
35609, 16.2, 20.9, 9.5, 2.2, 0.0, 11
40629, 15.9, 21.9, 12.0, 2.8, 0.0, 14
45647, 16.0, 22.9, 14.0, 3.8, 0.0, 17
50665, 16.0, 23.9, 15.8, 4.9, 0.0, 20
55682, 16.0, 24.9, 17.8, 6.2, 0.0, 24
60697, 16.0, 24.9, 17.8, 7.3, 0.0, 25
65710, 16.0, 25.9, 19.8, 8.9, 0.0, 28
70723, 16.2, 26.9, 21.8, 10.6, 0.0, 32
75735, 15.9, 27.9, 24.0, 12.4, 0.0, 36
80748, 15.9, 28.9, 25.8, 14.0, 0.0, 39
85767, 16.0, 29.9, 27.5, 16.1, 0.0, 43
90786, 16.0, 30.9, 29.8, 18.3, 0.0, 48
95805, 16.1, 31.9, 31.7, 20.7, 0.0, 52
100818, 16.1, 31.9, 31.8, 22.7, 0.0, 54
105833, 16.0, 32.9, 33.8, 25.3, 0.0, 59
110849, 16.1, 33.9, 36.0, 28.2, 0.0, 64
115865, 16.1, 34.9, 37.7, 31.1, 0.0, 68
120880, 16.0, 35.9, 40.0, 33.6, 0.0, 73
125898, 16.1, 36.9, 41.8, 36.8, 0.0, 78
130911, 16.1, 37.9, 44.0, 40.1, 0.0, 84
135923, 16.0, 38.9, 45.8, 43.6, 0.0, 89
140938, 15.9, 38.9, 46.0, 46.5, 0.0, 92
145956, 16.2, 39.9, 48.0, 50.3, 0.0, 98
151023, 16.1, 40.9, 50.0, 54.2, 0.0, 100
156108, 15.9, 41.9, 52.0, 58.4, 0.0, 100
161192, 15.9, 42.9, 53.8, 61.8, 0.0, 100
166280, 16.0, 43.9, 55.5, 66.1, 0.0, 100
171367, 16.1, 44.9, 57.7, 70.7, 0.0, 100
176453, 16.1, 45.9, 59.7, 75.4, 0.0, 100
181539, 16.0, 46.9, 60.2, 79.2, 0.0, 100
186627, 15.9, 47.9, 61.8, 84.2, 0.0, 100
191711, 16.0, 47.9, 63.7, 89.3, 0.0, 100
196798, 16.0, 48.9, 65.8, 94.5, 0.0, 100
201882, 16.0, 49.9, 67.8, 98.9, 0.0, 100
206967, 16.0, 50.9, 69.8, 100.0, 0.0, 100
212051, 16.0, 51.9, 71.5, 100.0, 0.0, 100
217135, 16.1, 52.9, 73.7, 100.0, 0.0, 100
222218, 15.9, 53.9, 75.5, 100.0, 0.0, 100
227304, 16.0, 54.9, 75.8, 100.0, 0.0, 100
232389, 16.0, 55.9, 77.8, 100.0, 0.0, 100
237473, 15.9, 55.9, 80.0, 100.0, 0.0, 100
