# LUCIA Four Log File
# Date: 2025-12-15 02:06:16
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=2.00 Ki=0.30 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
242558, 16.0, 56.9, 82.2, 100.0, 0.0, 100
247642, 15.9, 57.9, 83.8, 100.0, 0.0, 100
252726, 16.0, 58.9, 86.0, 100.0, 0.0, 100
257810, 16.0, 59.9, 87.8, 100.0, 0.0, 100
262894, 15.9, 60.9, 89.8, 100.0, 0.0, 100
267979, 16.0, 61.9, 91.7, 100.0, 0.0, 100
273061, 16.1, 62.9, 93.8, 100.0, 0.0, 100
278145, 16.0, 63.9, 95.8, 100.0, 0.0, 100
283230, 16.1, 63.9, 96.0, 100.0, 0.0, 100
288315, 15.9, 64.9, 98.0, 100.0, 0.0, 100
293399, 16.0, 65.9, 100.0, 100.0, 0.0, 100
298484, 16.1, 66.9, 101.7, 100.0, 0.0, 100
303567, 15.8, 67.9, 103.8, 100.0, 0.0, 100
308652, 16.1, 68.9, 105.8, 100.0, 0.0, 100
313734, 23.2, 69.9, 94.8, 100.0, 0.0, 100
318830, 26.9, 70.9, 88.0, 100.0, 0.0, 100
323963, 27.6, 71.9, 86.9, 100.0, 0.0, 100
329094, 27.2, 71.9, 89.7, 100.0, 0.0, 100
334225, 26.1, 72.9, 93.3, 100.0, 0.0, 100
339319, 25.3, 73.9, 97.2, 100.0, 0.0, 100
344402, 24.6, 74.9, 100.2, 100.0, 0.0, 100
349488, 24.1, 75.9, 103.7, 100.0, 0.0, 100
354573, 23.4, 76.9, 107.0, 100.0, 0.0, 100
359654, 22.9, 77.9, 110.0, 100.0, 0.0, 100
364732, 22.6, 78.9, 112.6, 100.0, 0.0, 100
369812, 22.0, 79.9, 113.5, 100.0, 0.0, 100
374887, 21.9, 80.9, 115.8, 100.0, 0.0, 100
379965, 21.5, 80.9, 118.8, 100.0, 0.0, 100
385042, 21.3, 81.9, 121.1, 100.0, 0.0, 100
<<< PROGRAMME ARRETE >>>
Temperature finale: 21.2C
---
<<< PROGRAMME ARRETE >>>
Temperature finale: 19.2C
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 19.0C
PID: Kp=3.00 Ki=0.10 Kd=0.00
Phase detectee: 1
---
444528, 19.2, 19.0, 123.5, 100.0, 0.0, 0
449569, 19.0, 19.0, 0.2, -0.0, 0.0, 0
454646, 18.8, 20.0, 3.5, 0.0, 0.0, 3
459724, 18.7, 21.0, 6.7, 0.2, 0.0, 6
464839, 18.4, 22.0, 10.0, 0.3, 0.0, 10
469858, 18.4, 23.0, 13.2, 0.5, 0.0, 13
474878, 18.4, 24.0, 16.7, 0.7, 0.0, 17
479901, 18.4, 25.0, 20.2, 1.0, 0.0, 21
484917, 18.4, 26.0, 20.7, 1.4, 0.0, 22
489932, 18.3, 26.0, 23.2, 1.8, 0.0, 25
494943, 18.1, 27.0, 26.7, 2.2, 0.0, 28
499954, 18.2, 28.0, 29.7, 2.7, 0.0, 32
504966, 18.1, 29.0, 33.0, 3.2, 0.0, 36
509979, 17.9, 30.0, 36.0, 3.8, 0.0, 39
514994, 18.0, 31.0, 39.5, 4.4, 0.0, 43
520013, 17.9, 32.0, 42.5, 5.1, 0.0, 47
525029, 17.9, 33.0, 45.0, 5.8, 0.0, 50
530043, 17.9, 33.0, 46.3, 6.6, 0.0, 52
535060, 17.9, 34.0, 49.0, 7.3, 0.0, 56
540076, 17.7, 35.0, 52.3, 8.2, 0.0, 60
545090, 23.7, 36.0, 40.0, 9.1, 0.0, 49
550134, 29.5, 37.0, 22.8, 9.6, 0.0, 32
555197, 28.7, 38.0, 27.5, 10.0, 0.0, 37
560258, 27.3, 39.0, 34.3, 10.5, 0.0, 44
565326, 26.4, 40.0, 40.3, 11.2, 0.0, 51
570366, 25.5, 41.0, 46.4, 11.9, 0.0, 58
575384, 24.7, 41.0, 48.6, 12.6, 0.0, 61
580402, 23.8, 42.0, 53.8, 13.5, 0.0, 67
585417, 23.2, 43.0, 59.3, 14.5, 0.0, 73
590432, 22.7, 44.0, 63.8, 15.6, 0.0, 79
595442, 22.1, 45.0, 67.8, 16.5, 0.0, 84
600452, 21.7, 46.0, 73.0, 17.8, 0.0, 90
605466, 21.3, 47.0, 77.2, 19.1, 0.0, 96
610486, 20.8, 48.0, 81.5, 20.5, 0.0, 100
615569, 20.5, 48.0, 82.2, 21.6, 0.0, 100
620654, 20.1, 49.0, 86.0, 23.2, 0.0, 100
625735, 20.0, 50.0, 90.0, 24.8, 0.0, 100
630817, 19.8, 51.0, 93.5, 26.4, 0.0, 100
635898, 19.6, 52.0, 97.2, 27.8, 0.0, 100
640983, 19.3, 53.0, 101.0, 29.5, 0.0, 100
646070, 18.9, 54.0, 105.0, 31.4, 0.0, 100
651158, 18.9, 55.0, 108.2, 33.3, 0.0, 100
656245, 18.7, 56.0, 109.0, 34.8, 0.0, 100
661332, 18.4, 57.0, 112.2, 36.8, 0.0, 100
666419, 18.5, 57.0, 115.7, 38.9, 0.0, 100
671503, 18.3, 58.0, 119.0, 41.0, 0.0, 100
676587, 18.2, 59.0, 122.5, 42.7, 0.0, 100
681670, 18.1, 60.0, 125.7, 44.9, 0.0, 100
686753, 17.9, 61.0, 129.2, 47.2, 0.0, 100
691836, 17.9, 62.0, 131.7, 49.5, 0.0, 100
696918, 17.9, 63.0, 135.7, 51.4, 0.0, 100
702000, 17.7, 64.0, 136.3, 53.9, 0.0, 100
707085, 17.6, 65.0, 139.3, 56.3, 0.0, 100
712168, 17.7, 65.0, 142.5, 58.9, 0.0, 100
717252, 17.5, 66.0, 145.5, 61.0, 0.0, 100
722337, 17.4, 67.0, 149.0, 63.6, 0.0, 100
727422, 17.4, 68.0, 151.7, 66.3, 0.0, 100
732508, 17.4, 69.0, 155.0, 69.0, 0.0, 100
737594, 17.2, 70.0, 158.2, 71.3, 0.0, 100
742681, 17.2, 71.0, 161.5, 74.1, 0.0, 100
747768, 17.2, 72.0, 164.5, 77.0, 0.0, 100
752854, 17.0, 73.0, 164.8, 79.9, 0.0, 100
757939, 16.9, 73.0, 168.0, 82.3, 0.0, 100
763027, 17.0, 74.0, 171.0, 85.4, 0.0, 100
768115, 16.9, 75.0, 174.0, 88.5, 0.0, 100
773201, 16.9, 76.0, 177.7, 91.6, 0.0, 100
778289, 16.8, 77.0, 180.5, 94.2, 0.0, 100
783376, 16.8, 78.0, 184.3, 97.4, 0.0, 100
788462, 16.7, 79.0, 186.7, 100.0, 0.0, 100
793548, 16.8, 80.0, 190.0, 100.0, 0.0, 100
<<< PROGRAMME ARRETE >>>
Temperature finale: 16.7C
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 16.5C
PID: Kp=2.50 Ki=0.20 Kd=0.00
Phase detectee: 1
---
811869, 16.7, 16.5, 190.3, 100.0, 0.0, 0
816908, 16.6, 16.5, -0.4, -0.0, 0.0, 0
821985, 16.4, 17.5, 2.5, 0.1, 0.0, 2
827066, 16.5, 18.5, 5.0, 0.3, 0.0, 5
832145, 16.4, 19.5, 7.3, 0.5, 0.0, 7
837257, 16.4, 20.5, 10.2, 0.9, 0.0, 11
842279, 16.5, 21.5, 12.5, 1.4, 0.0, 13
847299, 16.3, 22.5, 15.2, 1.8, 0.0, 17
852320, 16.4, 23.5, 15.0, 2.5, 0.0, 17
857334, 16.3, 23.5, 17.9, 3.2, 0.0, 21
862349, 16.3, 24.5, 20.6, 4.1, 0.0, 24
867363, 16.3, 25.5, 23.3, 4.9, 0.0, 28
872378, 16.4, 26.5, 25.6, 5.9, 0.0, 31
877393, 16.3, 27.5, 27.7, 7.0, 0.0, 34
882407, 16.4, 28.5, 30.2, 8.3, 0.0, 38
887419, 16.2, 29.5, 33.3, 9.3, 0.0, 42
892436, 16.2, 30.5, 36.0, 10.8, 0.0, 46
897457, 16.2, 31.5, 35.8, 12.3, 0.0, 48
902472, 16.1, 31.5, 38.5, 13.9, 0.0, 52
907486, 16.2, 32.5, 40.8, 15.3, 0.0, 56
912502, 16.2, 33.5, 42.9, 17.0, 0.0, 59
917519, 16.3, 34.5, 45.8, 18.9, 0.0, 64
922533, 16.2, 35.5, 48.3, 20.9, 0.0, 69
927549, 16.2, 36.5, 50.6, 22.6, 0.0, 73
932568, 16.1, 37.5, 53.5, 24.8, 0.0, 78
937579, 16.1, 38.5, 53.3, 27.0, 0.0, 80
942592, 16.2, 38.5, 55.8, 29.4, 0.0, 85
947604, 21.4, 39.5, 53.7, 31.3, 0.0, 84
952638, 26.9, 40.5, 34.8, 32.9, 0.0, 67
957705, 28.1, 41.5, 32.8, 34.3, 0.0, 67
962767, 26.9, 42.5, 39.0, 35.9, 0.0, 74
967824, 25.6, 43.5, 44.5, 37.3, 0.0, 81
972837, 24.6, 44.5, 49.5, 39.2, 0.0, 88
977855, 23.7, 45.5, 54.2, 41.4, 0.0, 95
982871, 23.1, 45.5, 56.0, 43.7, 0.0, 99
987937, 22.3, 46.5, 60.2, 45.8, 0.0, 100
993016, 21.9, 47.5, 64.4, 48.5, 0.0, 100
998097, 21.3, 48.5, 68.3, 51.3, 0.0, 100
1003181, 20.7, 49.5, 72.1, 54.4, 0.0, 100
1008264, 20.4, 50.5, 75.0, 56.9, 0.0, 100
1013345, 19.9, 51.5, 79.1, 60.2, 0.0, 100
1018425, 19.6, 52.5, 82.2, 63.6, 0.0, 100
1023507, 19.4, 53.5, 85.2, 67.1, 0.0, 100
1028596, 19.1, 53.5, 85.8, 70.1, 0.0, 100
1033682, 18.8, 54.5, 88.9, 73.9, 0.0, 100
1038770, 18.4, 55.5, 92.2, 77.8, 0.0, 100
1043856, 18.4, 56.5, 95.2, 81.8, 0.0, 100
1048939, 18.2, 57.5, 98.3, 85.2, 0.0, 100
1054022, 18.0, 58.5, 101.0, 89.4, 0.0, 100
1059105, 17.9, 59.5, 103.9, 93.8, 0.0, 100
1064187, 17.8, 60.5, 106.8, 98.3, 0.0, 100
1069272, 17.5, 61.5, 107.3, 100.0, 0.0, 100
1074353, 17.5, 62.5, 110.0, 100.0, 0.0, 100
1079436, 17.4, 62.5, 112.9, 100.0, 0.0, 100
1084522, 17.4, 63.5, 115.4, 100.0, 0.0, 100
1089608, 17.2, 64.5, 118.1, 100.0, 0.0, 100
1094693, 17.2, 65.5, 121.0, 100.0, 0.0, 100
1099780, 17.1, 66.5, 123.5, 100.0, 0.0, 100
