# LUCIA Four Log File
# Date: 2025-12-15 02:03:37
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=2.00 Ki=0.30 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 16.0C
PID: Kp=2.00 Ki=0.30 Kd=0.00
Phase detectee: 1
---
6560, 16.0, 16.0, 0.0, 0.0, 0.0, 0
11592, 15.9, 16.0, 0.2, 0.0, 0.0, 0
16670, 16.0, 17.0, 2.0, 0.2, 0.0, 2
21750, 15.9, 18.0, 4.2, 0.4, 0.0, 4
26832, 15.8, 19.0, 6.3, 0.9, 0.0, 7
31911, 16.0, 20.0, 8.0, 1.4, 0.0, 9
37018, 15.8, 21.0, 10.3, 2.1, 0.0, 12
42038, 15.9, 22.0, 12.2, 2.8, 0.0, 14
47055, 16.0, 23.0, 12.2, 3.8, 0.0, 15
52071, 16.0, 23.0, 14.0, 4.9, 0.0, 18
57086, 16.1, 24.0, 15.8, 6.2, 0.0, 22
62102, 15.9, 25.0, 18.2, 7.3, 0.0, 25
67115, 15.9, 26.0, 20.2, 8.8, 0.0, 28
72129, 16.0, 27.0, 22.0, 10.5, 0.0, 32
77140, 15.9, 28.0, 24.2, 12.3, 0.0, 36
82155, 16.0, 29.0, 26.2, 13.9, 0.0, 40
87176, 16.1, 30.0, 28.2, 16.0, 0.0, 44
92195, 16.1, 31.0, 27.8, 18.2, 0.0, 46
97214, 15.8, 31.0, 30.3, 20.6, 0.0, 50
102228, 16.0, 32.0, 31.8, 22.6, 0.0, 54
107242, 15.9, 33.0, 34.0, 25.3, 0.0, 59
112256, 15.9, 34.0, 36.2, 28.1, 0.0, 64
117273, 16.0, 35.0, 38.0, 31.0, 0.0, 69
122288, 15.9, 36.0, 40.2, 33.5, 0.0, 73
127306, 15.9, 37.0, 42.0, 36.7, 0.0, 78
132322, 16.0, 38.0, 42.0, 40.0, 0.0, 81
137333, 16.2, 38.0, 43.7, 43.5, 0.0, 87
142350, 16.0, 39.0, 45.8, 46.4, 0.0, 92
147367, 15.9, 40.0, 48.2, 50.2, 0.0, 98
